job_title,company,location,experience_required,required_skills,num_skills_required,salary_inr,posted_year,remote
Cybersecurity Analyst,Google,Pune,0-2 yrs,Linux|Network Security|Python|Forensics,4,858000.0,2023,Yes
Data Scientist,Paytm,Delhi NCR,0-2 yrs,Data Visualization|Machine Learning|Statistics|SQL|Python,5,1140000.0,2022,Yes
NLP Engineer,Accenture,Pune,8+ yrs,Deep Learning|Python|Transformers|Spark,4,2629000.0,2023,No
Data Scientist,Meesho,Hyderabad,8+ yrs,Data Visualization|Statistics|SQL|Machine Learning,4,2578000.0,2024,Yes
Data Scientist,Wipro,Hyderabad,2-5 yrs,SQL|Statistics|Machine Learning,3,1501000.0,2023,Yes
Full Stack Developer,Paytm,Pune,5-8 yrs,Docker|React|Git|JavaScript|SQL,5,1791000.0,2024,Yes
Cybersecurity Analyst,Microsoft,Delhi NCR,5-8 yrs,Penetration Testing|Python|Network Security|Ethical Hacking|Incident Response,5,1784000.0,2024,No
Machine Learning Engineer,Zomato,Delhi NCR,5-8 yrs,Docker|MLOps|Deep Learning|Machine Learning|Python|AWS|Scala,7,2647000.0,2022,Yes
Machine Learning Engineer,Adobe,Kolkata,2-5 yrs,MLOps|Docker|Deep Learning|Machine Learning|Python,5,2142000.0,2022,Yes
Cybersecurity Analyst,Salesforce,Chennai,5-8 yrs,Penetration Testing|Linux|SIEM|AWS Security|Incident Response,5,2089000.0,2022,Yes
Cybersecurity Analyst,Salesforce,Remote,5-8 yrs,Linux|Python|Network Security|Penetration Testing|SIEM|Compliance,6,1504000.0,2023,Yes
Frontend Developer,Microsoft,Delhi NCR,2-5 yrs,JavaScript|TypeScript|Git|HTML/CSS|React,5,1361000.0,2022,No
Product Manager,Paytm,Remote,8+ yrs,Data Analysis|Roadmapping|Stakeholder Management|Agile|Product Strategy|Figma,6,2822000.0,2022,Yes
Backend Developer,Accenture,Bengaluru,0-2 yrs,Git|REST APIs|Python|SQL|Docker|Go,6,828000.0,2023,Yes
Product Manager,TCS,Ahmedabad,2-5 yrs,Stakeholder Management|Roadmapping|Product Strategy|User Research,4,1812000.0,2022,Yes
Data Analyst,Deloitte,Kolkata,8+ yrs,SQL|Python|Statistics|Excel|R|Tableau|Google Analytics,7,1364000.0,2024,No
